spell_name,ritual,school,tags,level,casting_time,range,components,duration,description,classes,source_book
Mass Suggestion,FALSE,enchantment,"control, social",6,Action,60 feet,"V, M (a snake's tongue)",24 hours,"You suggest a course of activity—described in no more than 25 words—to twelve or fewer creatures you can see within range that can hear and understand you. The suggestion must sound achievable and not involve anything that would obviously deal damage to any of the targets or their allies. For example, you could say, “Walk to the village down that road, and help the villagers there harvest crops until sunset.” Or you could say, “Now is not the time for violence. Drop your weapons, and dance! Stop in an hour.”\nEach target must succeed on a Wisdom saving throw or have the Charmed condition for the duration or until you or your allies deal damage to the target. Each Charmed target pursues the suggestion to the best of its ability. The suggested activity can continue for the entire duration, but if the suggested activity can be completed in a shorter time, the spell ends for a target upon completing it.\nUsing a Higher-Level Spell Slot. The duration is longer with a spell slot of level 7 (10 days), 8 (30 days), or 9 (366 days).","Bard, Sorcerer, Wizard",Player's Handbook 2024
Maze,FALSE,conjuration,"banishment, warding, control",8,Action,60 feet,"V, S","Concentration, up to 10 minutes","You banish a creature that you can see within range into a labyrinthine demiplane. The target remains there for the duration or until it escapes the maze.\nThe target can take a Study action to try to escape. When it does so, it makes a DC 20 Intelligence (Investigation) check. If it succeeds, it escapes, and the spell ends.\nWhen the spell ends, the target reappears in the space it left or, if that space is occupied, in the nearest unoccupied space.",Wizard,Player's Handbook 2024
Meld into Stone,TRUE,transmutation,"deception, stealth",3,Action or Ritual,Touch,"V, S",8 hours,"You step into a stone object or surface large enough to fully contain your body, merging yourself and your equipment with the stone for the duration. You must touch the stone to do so. Nothing of your presence remains visible or otherwise detectable by nonmagical senses.\nWhile merged with the stone, you can't see what occurs outside it, and any Wisdom (Perception) checks you make to hear sounds outside it are made with Disadvantage. You remain aware of the passage of time and can cast spells on yourself while merged in the stone. You can use 5 feet of movement to leave the stone where you entered it, which ends the spell. You otherwise can't move.\nMinor physical damage to the stone doesn't harm you, but its partial destruction or a change in its shape (to the extent that you no longer fit within it) expels you and deals 6d6 Force damage to you. The stone's complete destruction (or transmutation into a different substance) expels you and deals 50 Force damage to you. If expelled, you move into an unoccupied space closest to where you first entered and have the Prone condition.","Cleric, Druid, Ranger",Player's Handbook 2024
Melf's Acid Arrow,FALSE,evocation,"damage, acid",2,Action,90 feet,"V, S, M (powdered rhubarb leaf)",Instantaneous,Unknown,Wizard,Player's Handbook 2024
Mending,FALSE,transmutation,utility,0,1 minute,Touch,"V, S, M (two lodestones)",Instantaneous,"This spell repairs a single break or tear in an object you touch, such as a broken chain link, two halves of a broken key, a torn cloak, or a leaking wineskin. As long as the break or tear is no larger than 1 foot in any dimension, you mend it, leaving no trace of the former damage.\nThis spell can physically repair a magic item, but it can't restore magic to such an object.","Bard, Cleric, Druid, Sorcerer, Wizard",Player's Handbook 2024
Message,FALSE,transmutation,communication,0,Action,120 feet,"S, M (a copper wire)",1 round,"You point toward a creature within range and whisper a message. The target (and only the target) hears the message and can reply in a whisper that only you can hear.\nYou can cast this spell through solid objects if you are familiar with the target and know it is beyond the barrier. Magical silence; 1 foot of stone, metal, or wood; or a thin sheet of lead blocks the spell.","Bard, Druid, Sorcerer, Wizard",Player's Handbook 2024
Meteor Swarm,FALSE,evocation,"damage, fire, bludgeoning",9,Action,1 mile,"V, S",Instantaneous,"Blazing orbs of fire plummet to the ground at four different points you can see within range. Each creature in a 40-foot-radius Sphere centered on each of those points makes a Dexterity saving throw. A creature takes 20d6 Fire damage and 20d6 Bludgeoning damage on a failed save or half as much damage on a successful one. A creature in the area of more than one fiery Sphere is affected only once.\nA nonmagical object that isn't being worn or carried also takes the damage if it's in the spell's area, and the object starts burning if it's flammable.","Sorcerer, Wizard",Player's Handbook 2024
Mind Blank,FALSE,abjuration,"buff, defense, warding",8,Action,Touch,"V, S",24 hours,"Until the spell ends, one willing creature you touch has Immunity to Psychic damage and the Charmed condition. The target is also unaffected by anything that would sense its emotions or alignment, read its thoughts, or magically detect its location, and no spell—not even Wish—can gather information about the target, observe it remotely, or control its mind.","Bard, Wizard",Player's Handbook 2024
Mind Sliver,FALSE,enchantment,"debuff, damage, psychic",0,Action,60 feet,V,1 round,Unknown,"Sorcerer, Warlock, Wizard",Player's Handbook 2024
Mind Spike,FALSE,divination,"damage, psychic, detection",2,Action,120 feet,S,"Concentration, up to 1 hour",Unknown,"Sorcerer, Warlock, Wizard",Player's Handbook 2024
Minor Illusion,FALSE,illusion,"deception, utility",0,Action,30 feet,"S, M (a bit of fleece)",1 minute,"You create a sound or an image of an object within range that lasts for the duration. See the descriptions below for the effects of each. The illusion ends if you cast this spell again.\nIf a creature takes a Study action to examine the sound or image, the creature can determine that it is an illusion with a successful Intelligence (Investigation) check against your spell save DC. If a creature discerns the illusion for what it is, the illusion becomes faint to the creature.\nSound. If you create a sound, its volume can range from a whisper to a scream. It can be your voice, someone else's voice, a lion's roar, a beating of drums, or any other sound you choose. The sound continues unabated throughout the duration, or you can make discrete sounds at different times before the spell ends.\nImage. If you create an image of an object—such as a chair, muddy footprints, or a small chest—it must be no larger than a 5-foot Cube. The image can't create sound, light, smell, or any other sensory effect. Physical interaction with the image reveals it to be an illusion, since things can pass through it.","Bard, Sorcerer, Warlock, Wizard",Player's Handbook 2024
Mirage Arcane,FALSE,illusion,"deception, control, environment",7,10 minutes,Sight,"V, S",10 days,"You make terrain in an area up to 1 mile square look, sound, smell, and even feel like some other sort of terrain. Open fields or a road could be made to resemble a swamp, hill, crevasse, or some other rough or impassable terrain. A pond can be made to seem like a grassy meadow, a precipice like a gentle slope, or a rock-strewn gully like a wide and smooth road.\nSimilarly, you can alter the appearance of structures or add them where none are present. The spell doesn't disguise, conceal, or add creatures.\nThe illusion includes audible, visual, tactile, and olfactory elements, so it can turn clear ground into Difficult Terrain (or vice versa) or otherwise impede movement through the area. Any piece of the illusory terrain (such as a rock or stick) that is removed from the spell's area disappears immediately.\nCreatures with Truesight can see through the illusion to the terrain's true form; however, all other elements of the illusion remain, so while the creature is aware of the illusion's presence, the creature can still physically interact with the illusion.","Bard, Druid, Wizard",Player's Handbook 2024
